State 4,Race Education 5,target
Midwest,Non-White,0.04641219486215107
Midwest,White College,0.03282099635819619
Midwest,White No College,0.059390102815875444
Midwest,White Postgrad,0.017376300570851346
Midwest,White Some College,0.05161070468400178
Northeast,Non-White,0.0575176690754297
Northeast,White College,0.027215499579788856
Northeast,White No College,0.04027502425090421
Northeast,White Postgrad,0.01875400517326774
Northeast,White Some College,0.030561307175288335
South,Non-White,0.15587588294853819
South,White College,0.04624589086225397
South,White No College,0.0819825062933954
South,White Postgrad,0.02695080825048157
South,White Some College,0.06940492326655819
West,Non-White,0.11242508756192285
West,White College,0.030105465334488938
West,White No College,0.033790159138812705
West,White Postgrad,0.017951851369232937
West,White Some College,0.04333362042856057
