"State 4","Education 4","target"
"Midwest","College or more",0.0384782655788132
"Midwest","High school or less",0.0813335735906055
"Midwest","Post graduate degree",0.0215220731445541
"Midwest","Some college",0.0670370055278866
"Northeast","College or more",0.0362852799095687
"Northeast","High school or less",0.0679076388027311
"Northeast","Post graduate degree",0.0249729789341636
"Northeast","Some college",0.0462532784286387
"South","College or more",0.0668474582946854
"South","High school or less",0.157535937170754
"South","Post graduate degree",0.03923572192387
"South","Some college",0.115516673263895
"West","College or more",0.04691532506612
"West","High school or less",0.085985139496917
"West","Post graduate degree",0.0266655914169074
"West","Some college",0.0775080594498896
