Race 2,Gender,Education 3 College,target
Non-white,Female,College degree,0.031410674834505645
White,Female,College degree,0.07064850213819232
Non-white,Male,College degree,0.02485511622709732
White,Male,College degree,0.06573934999653562
Non-white,Female,HS or less/some college,0.14306006480075187
White,Female,HS or less/some college,0.2075165726408583
Non-white,Male,HS or less/some college,0.14018251446877503
White,Male,HS or less/some college,0.20283177541253836
Non-white,Female,Post graduate degree,0.017933330065113644
White,Female,Post graduate degree,0.04278956642183205
Non-white,Male,Post graduate degree,0.014789134051798311
White,Male,Post graduate degree,0.038243398942001544
