Race 4,Education 4,target
Black,College or more,0.01563394286178854
Hispanic,College or more,0.01818323255019288
Other,College or more,0.022448615649621542
White,College or more,0.13638785213472795
Black,High school or less,0.05496561822834401
Hispanic,High school or less,0.09297633569905624
Other,High school or less,0.026676470490206675
White,High school or less,0.21543779249898776
Black,Post graduate degree,0.009275178495886263
Hispanic,Post graduate degree,0.007738066915470432
Other,Post graduate degree,0.01570921870555526
White,Post graduate degree,0.08103296536383359
Black,Some college,0.0412351163315122
Hispanic,Some college,0.04507638937402273
Other,Some college,0.022312649146385054
White,Some college,0.1949105555544089
